./agents/active_inference/precision.py:125:61: E502 the backslash is redundant between brackets
./agents/active_inference/precision.py:126:21: E128 continuation line under-indented for visual indent
./agents/base/epistemic_value_engine.py:232:80: E501 line too long (81 > 79 characters)
./agents/base/epistemic_value_engine.py:248:80: E501 line too long (82 > 79 characters)
./agents/base/epistemic_value_engine.py:274:80: E501 line too long (83 > 79 characters)
./agents/base/epistemic_value_engine.py:545:80: E501 line too long (99 > 79 characters)
./agents/base/epistemic_value_engine.py:551:80: E501 line too long (80 > 79 characters)
./agents/base/epistemic_value_engine.py:555:80: E501 line too long (97 > 79 characters)
./agents/base/epistemic_value_engine.py:556:80: E501 line too long (89 > 79 characters)
./agents/base/epistemic_value_engine.py:557:80: E501 line too long (97 > 79 characters)
./agents/base/epistemic_value_engine.py:559:80: E501 line too long (91 > 79 characters)
./agents/base/interaction.py:18:80: E501 line too long (93 > 79 characters)
./agents/base/interaction.py:167:80: E501 line too long (87 > 79 characters)
./agents/base/interaction.py:189:80: E501 line too long (82 > 79 characters)
./agents/base/interaction.py:217:80: E501 line too long (84 > 79 characters)
./agents/base/interaction.py:236:80: E501 line too long (89 > 79 characters)
./agents/base/interaction.py:296:80: E501 line too long (82 > 79 characters)
./agents/base/interaction.py:307:80: E501 line too long (84 > 79 characters)
./agents/base/interaction.py:403:80: E501 line too long (81 > 79 characters)
./agents/base/interaction.py:493:80: E501 line too long (86 > 79 characters)
./agents/base/interaction.py:499:80: E501 line too long (81 > 79 characters)
./agents/base/interfaces.py:10:80: E501 line too long (95 > 79 characters)
./agents/base/interfaces.py:162:80: E501 line too long (86 > 79 characters)
./agents/base/markov_blanket.py:49:80: E501 line too long (85 > 79 characters)
./agents/base/markov_blanket.py:82:80: E501 line too long (91 > 79 characters)
./agents/base/markov_blanket.py:87:80: E501 line too long (89 > 79 characters)
./agents/base/markov_blanket.py:92:80: E501 line too long (87 > 79 characters)
./agents/base/markov_blanket.py:97:80: E501 line too long (95 > 79 characters)
./agents/base/markov_blanket.py:229:80: E501 line too long (88 > 79 characters)
./agents/base/markov_blanket.py:280:80: E501 line too long (81 > 79 characters)
./agents/base/markov_blanket.py:489:80: E501 line too long (95 > 79 characters)
./agents/base/markov_blanket.py:496:80: E501 line too long (81 > 79 characters)
./agents/base/markov_blanket.py:498:80: E501 line too long (86 > 79 characters)
./agents/base/markov_blanket.py:503:80: E501 line too long (81 > 79 characters)
./agents/base/markov_blanket.py:508:80: E501 line too long (90 > 79 characters)
./agents/base/markov_blanket.py:521:48: W291 trailing whitespace
./agents/base/markov_blanket.py:523:54: W291 trailing whitespace
./agents/base/markov_blanket.py:524:13: E129 visually indented line with same indent as next logical line
./agents/base/markov_blanket.py:527:80: E501 line too long (92 > 79 characters)
./agents/base/markov_blanket.py:537:80: E501 line too long (80 > 79 characters)
./agents/base/markov_blanket.py:539:56: W291 trailing whitespace
./agents/base/markov_blanket.py:540:13: E129 visually indented line with same indent as next logical line
./agents/base/markov_blanket.py:543:80: E501 line too long (80 > 79 characters)
./agents/base/markov_blanket.py:544:80: E501 line too long (82 > 79 characters)
./agents/base/markov_blanket.py:608:80: E501 line too long (90 > 79 characters)
./agents/base/markov_blanket.py:620:80: E501 line too long (80 > 79 characters)
./agents/base/markov_blanket.py:817:80: E501 line too long (80 > 79 characters)
./agents/base/markov_blanket.py:886:80: E501 line too long (81 > 79 characters)
./agents/base/markov_blanket.py:1103:80: E501 line too long (86 > 79 characters)
./agents/base/memory.py:216:80: E501 line too long (82 > 79 characters)
./agents/base/memory.py:463:80: E501 line too long (81 > 79 characters)
./agents/base/memory.py:496:80: E501 line too long (81 > 79 characters)
./agents/base/memory.py:577:80: E501 line too long (81 > 79 characters)
./agents/base/memory.py:605:80: E501 line too long (88 > 79 characters)
./agents/base/memory.py:624:80: E501 line too long (90 > 79 characters)
./agents/base/memory.py:751:80: E501 line too long (84 > 79 characters)
./agents/base/movement.py:251:80: E501 line too long (87 > 79 characters)
./agents/base/perception.py:156:80: E501 line too long (94 > 79 characters)
./agents/base/perception.py:199:80: E501 line too long (96 > 79 characters)
./agents/base/persistence.py:96:80: E501 line too long (82 > 79 characters)
./agents/base/persistence.py:113:80: E501 line too long (83 > 79 characters)
./agents/base/persistence.py:124:80: E501 line too long (85 > 79 characters)
./agents/base/persistence.py:140:80: E501 line too long (83 > 79 characters)
./agents/base/persistence.py:309:80: E501 line too long (88 > 79 characters)
./agents/base/persistence.py:328:80: E501 line too long (90 > 79 characters)
./agents/base/persistence.py:348:80: E501 line too long (82 > 79 characters)
./agents/base/personality_system.py:13:80: E501 line too long (81 > 79 characters)
./agents/base/personality_system.py:14:80: E501 line too long (80 > 79 characters)
./agents/base/personality_system.py:159:80: E501 line too long (84 > 79 characters)
./agents/base/personality_system.py:303:80: E501 line too long (82 > 79 characters)
./agents/base/personality_system.py:305:80: E501 line too long (84 > 79 characters)
./agents/base/personality_system.py:310:80: E501 line too long (80 > 79 characters)
./agents/base/personality_system.py:323:80: E501 line too long (84 > 79 characters)
./agents/base/personality_system.py:354:80: E501 line too long (87 > 79 characters)
./agents/base/personality_system.py:369:80: E501 line too long (86 > 79 characters)
./agents/base/personality_system.py:421:80: E501 line too long (82 > 79 characters)
./agents/base/personality_system.py:521:80: E501 line too long (81 > 79 characters)
./agents/base/resource_business_model.py:181:80: E501 line too long (83 > 79 characters)
./agents/base/resource_business_model.py:185:80: E501 line too long (83 > 79 characters)
./agents/base/resource_business_model.py:361:80: E501 line too long (87 > 79 characters)
./agents/base/resource_business_model.py:494:80: E501 line too long (81 > 79 characters)
./agents/base/resource_business_model.py:707:80: E501 line too long (100 > 79 characters)
./agents/base/resource_business_model.py:711:80: E501 line too long (89 > 79 characters)
./agents/base/resource_business_model.py:713:80: E501 line too long (96 > 79 characters)
./agents/base/resource_business_model.py:734:80: E501 line too long (81 > 79 characters)
./agents/base/state_manager.py:137:80: E501 line too long (81 > 79 characters)
./agents/base/state_manager.py:311:80: E501 line too long (89 > 79 characters)
./agents/base/state_manager.py:313:80: E501 line too long (90 > 79 characters)
./agents/base/state_manager.py:402:80: E501 line too long (98 > 79 characters)
./agents/base/state_manager.py:409:80: E501 line too long (95 > 79 characters)
./agents/base/state_manager.py:410:80: E501 line too long (81 > 79 characters)
./agents/base/state_manager.py:423:80: E501 line too long (83 > 79 characters)
./agents/base/state_manager.py:424:80: E501 line too long (83 > 79 characters)
./agents/base/state_manager.py:485:80: E501 line too long (87 > 79 characters)
./agents/base/state_manager.py:491:80: E501 line too long (95 > 79 characters)
./agents/base/world_integration.py:22:80: E501 line too long (85 > 79 characters)
./agents/base/world_integration.py:198:80: E501 line too long (87 > 79 characters)
./agents/base/world_integration.py:209:80: E501 line too long (91 > 79 characters)
./agents/base/world_integration.py:337:80: E501 line too long (94 > 79 characters)
./agents/base/world_integration.py:375:80: E501 line too long (82 > 79 characters)
./agents/base/world_integration.py:568:80: E501 line too long (91 > 79 characters)
./agents/base/world_integration.py:646:80: E501 line too long (81 > 79 characters)
./agents/base/world_integration.py:691:80: E501 line too long (88 > 79 characters)
./agents/core/active_inference.py:94:80: E501 line too long (85 > 79 characters)
./agents/core/active_inference.py:107:80: E501 line too long (80 > 79 characters)
./agents/core/active_inference.py:112:80: E501 line too long (90 > 79 characters)
./agents/core/active_inference.py:113:80: E501 line too long (80 > 79 characters)
./agents/core/active_inference.py:114:80: E501 line too long (84 > 79 characters)
./agents/core/active_inference.py:165:80: E501 line too long (85 > 79 characters)
./agents/core/active_inference.py:365:80: E501 line too long (88 > 79 characters)
./agents/core/movement_perception.py:57:80: E501 line too long (92 > 79 characters)
./agents/core/movement_perception.py:70:80: E501 line too long (92 > 79 characters)
./agents/core/movement_perception.py:327:80: E501 line too long (88 > 79 characters)
./agents/core/movement_perception.py:332:80: E501 line too long (90 > 79 characters)
./agents/core/movement_perception.py:366:63: W291 trailing whitespace
./agents/core/movement_perception.py:372:1: W293 blank line contains whitespace
./agents/core/movement_perception.py:380:1: W293 blank line contains whitespace
./agents/core/movement_perception.py:384:80: E501 line too long (110 > 79 characters)
./agents/core/movement_perception.py:387:1: W293 blank line contains whitespace
./agents/core/movement_perception.py:392:80: E501 line too long (80 > 79 characters)
./agents/core/movement_perception.py:412:80: E501 line too long (106 > 79 characters)
./agents/core/movement_perception.py:418:80: E501 line too long (86 > 79 characters)
./agents/core/movement_perception.py:419:80: E501 line too long (86 > 79 characters)
./agents/core/movement_perception.py:421:80: E501 line too long (92 > 79 characters)
./agents/core/movement_perception.py:425:1: W293 blank line contains whitespace
./agents/core/movement_perception.py:429:67: W291 trailing whitespace
./agents/core/movement_perception.py:430:31: E128 continuation line under-indented for visual indent
./agents/core/movement_perception.py:438:58: W291 trailing whitespace
./agents/core/movement_perception.py:441:67: W291 trailing whitespace
./agents/core/movement_perception.py:442:31: E128 continuation line under-indented for visual indent
./agents/core/movement_perception.py:445:1: W293 blank line contains whitespace
./agents/core/movement_perception.py:455:80: E501 line too long (87 > 79 characters)
./agents/core/movement_perception.py:507:80: E501 line too long (91 > 79 characters)
./agents/explorer/__init__.py:4:80: E501 line too long (83 > 79 characters)
./agents/explorer/__init__.py:8:80: E501 line too long (84 > 79 characters)
./agents/explorer/explorer.py:16:80: E501 line too long (88 > 79 characters)
./agents/explorer/explorer.py:464:80: E501 line too long (80 > 79 characters)
./agents/explorer/explorer.py:509:80: E501 line too long (82 > 79 characters)
./agents/merchant/__init__.py:8:80: E501 line too long (84 > 79 characters)
./agents/merchant/merchant.py:15:80: E501 line too long (88 > 79 characters)
./agents/merchant/merchant.py:126:80: E501 line too long (80 > 79 characters)
./agents/merchant/merchant.py:166:80: E501 line too long (81 > 79 characters)
./agents/merchant/merchant.py:180:80: E501 line too long (81 > 79 characters)
./agents/templates/base_template.py:193:80: E501 line too long (80 > 79 characters)
./agents/templates/base_template.py:459:80: E501 line too long (88 > 79 characters)
./agents/templates/explorer_template.py:50:80: E501 line too long (87 > 79 characters)
./agents/templates/explorer_template.py:64:80: E501 line too long (80 > 79 characters)
./agents/templates/explorer_template.py:225:80: E501 line too long (82 > 79 characters)
./agents/templates/explorer_template.py:227:80: E501 line too long (80 > 79 characters)
./agents/templates/pymdp_integration.py:36:80: E501 line too long (83 > 79 characters)
./agents/templates/pymdp_integration.py:97:80: E501 line too long (81 > 79 characters)
./agents/templates/pymdp_integration.py:146:80: E501 line too long (85 > 79 characters)
./agents/templates/pymdp_integration.py:277:80: E501 line too long (86 > 79 characters)
./agents/templates/pymdp_integration.py:293:80: E501 line too long (80 > 79 characters)
./agents/templates/pymdp_integration.py:410:80: E501 line too long (86 > 79 characters)
./agents/templates/test_pymdp_integration.py:172:80: E501 line too long (80 > 79 characters)
./agents/templates/test_pymdp_integration.py:241:80: E501 line too long (81 > 79 characters)
./agents/testing/agent_test_framework.py:34:80: E501 line too long (85 > 79 characters)
./agents/testing/agent_test_framework.py:169:80: E501 line too long (85 > 79 characters)
./agents/testing/agent_test_framework.py:257:80: E501 line too long (96 > 79 characters)
./agents/testing/agent_test_framework.py:272:80: E501 line too long (81 > 79 characters)
./agents/testing/agent_test_framework.py:273:80: E501 line too long (85 > 79 characters)
./agents/testing/agent_test_framework.py:274:80: E501 line too long (83 > 79 characters)
./agents/testing/agent_test_framework.py:275:80: E501 line too long (81 > 79 characters)
./agents/testing/agent_test_framework.py:310:80: E501 line too long (81 > 79 characters)
./agents/testing/agent_test_framework.py:454:80: E501 line too long (84 > 79 characters)
./agents/testing/agent_test_framework.py:470:80: E501 line too long (99 > 79 characters)
./agents/testing/agent_test_framework.py:478:80: E501 line too long (91 > 79 characters)
./agents/testing/agent_test_framework.py:504:80: E501 line too long (81 > 79 characters)
./agents/testing/agent_test_framework.py:528:80: E501 line too long (81 > 79 characters)
./agents/testing/agent_test_framework.py:543:80: E501 line too long (81 > 79 characters)
./agents/testing/agent_test_framework.py:544:80: E501 line too long (84 > 79 characters)
./api/main.py:4:80: E501 line too long (83 > 79 characters)
./api/websocket/coalition_monitoring.py:67:80: E501 line too long (93 > 79 characters)
./api/websocket/coalition_monitoring.py:202:80: E501 line too long (83 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:4:80: E501 line too long (80 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:96:80: E501 line too long (86 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:163:80: E501 line too long (81 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:180:80: E501 line too long (83 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:184:80: E501 line too long (83 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:188:80: E501 line too long (95 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:192:80: E501 line too long (85 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:227:80: E501 line too long (97 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:230:80: E501 line too long (91 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:233:80: E501 line too long (83 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:253:80: E501 line too long (83 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:289:80: E501 line too long (80 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:305:80: E501 line too long (80 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:382:80: E501 line too long (81 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:432:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:435:80: E501 line too long (84 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:437:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:450:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:454:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:463:80: E501 line too long (83 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:469:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:478:80: E501 line too long (80 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:483:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:492:80: E501 line too long (83 > 79 characters)
./api/websocket/markov_blanket_monitoring.py:497:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:510:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:523:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:535:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:549:1: E302 expected 2 blank lines, found 1
./api/websocket/markov_blanket_monitoring.py:562:1: E305 expected 2 blank lines after class or function definition, found 1
./api/websocket/markov_blanket_monitoring.py:575:1: E302 expected 2 blank lines, found 1
./api/websocket/real_time_updates.py:28:80: E501 line too long (80 > 79 characters)
./api/websocket/real_time_updates.py:134:80: E501 line too long (81 > 79 characters)
./api/websocket/real_time_updates.py:162:80: E501 line too long (89 > 79 characters)
./api/websocket/real_time_updates.py:210:80: E501 line too long (95 > 79 characters)
./api/websocket/real_time_updates.py:213:80: E501 line too long (81 > 79 characters)
./api/websocket/real_time_updates.py:225:80: E501 line too long (80 > 79 characters)
./api/websocket/real_time_updates.py:239:80: E501 line too long (81 > 79 characters)
./api/websocket/real_time_updates.py:268:80: E501 line too long (94 > 79 characters)
./api/websocket/real_time_updates.py:363:80: E501 line too long (83 > 79 characters)
./api/websocket/real_time_updates.py:368:80: E501 line too long (85 > 79 characters)
./api/websocket/real_time_updates.py:372:80: E501 line too long (88 > 79 characters)
./coalitions/coalition/business_opportunities.py:50:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/business_opportunities.py:59:80: E501 line too long (86 > 79 characters)
./coalitions/coalition/business_opportunities.py:66:80: E501 line too long (84 > 79 characters)
./coalitions/coalition/business_opportunities.py:120:80: E501 line too long (87 > 79 characters)
./coalitions/coalition/business_opportunities.py:150:80: E501 line too long (83 > 79 characters)
./coalitions/coalition/business_opportunities.py:174:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/business_opportunities.py:175:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/business_opportunities.py:176:80: E501 line too long (88 > 79 characters)
./coalitions/coalition/business_opportunities.py:203:80: E501 line too long (84 > 79 characters)
./coalitions/coalition/business_opportunities.py:208:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/business_opportunities.py:233:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/business_opportunities.py:238:80: E501 line too long (100 > 79 characters)
./coalitions/coalition/business_opportunities.py:241:80: E501 line too long (84 > 79 characters)
./coalitions/coalition/business_opportunities.py:243:80: E501 line too long (88 > 79 characters)
./coalitions/coalition/business_opportunities.py:245:80: E501 line too long (85 > 79 characters)
./coalitions/coalition/business_opportunities.py:248:80: E501 line too long (84 > 79 characters)
./coalitions/coalition/business_opportunities.py:250:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/business_opportunities.py:274:80: E501 line too long (88 > 79 characters)
./coalitions/coalition/business_opportunities.py:275:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/business_opportunities.py:285:80: E501 line too long (98 > 79 characters)
./coalitions/coalition/business_opportunities.py:287:80: E501 line too long (92 > 79 characters)
./coalitions/coalition/business_opportunities.py:299:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/business_opportunities.py:329:80: E501 line too long (85 > 79 characters)
./coalitions/coalition/business_opportunities.py:338:80: E501 line too long (84 > 79 characters)
./coalitions/coalition/business_opportunities.py:350:80: E501 line too long (87 > 79 characters)
./coalitions/coalition/business_opportunities.py:358:80: E501 line too long (81 > 79 characters)
./coalitions/coalition/business_opportunities.py:362:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/business_opportunities.py:380:80: E501 line too long (86 > 79 characters)
./coalitions/coalition/business_opportunities.py:387:80: E501 line too long (95 > 79 characters)
./coalitions/coalition/business_opportunities.py:406:80: E501 line too long (89 > 79 characters)
./coalitions/coalition/business_opportunities.py:466:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/business_opportunities.py:478:80: E501 line too long (84 > 79 characters)
./coalitions/coalition/business_opportunities.py:481:80: E501 line too long (100 > 79 characters)
./coalitions/coalition/business_opportunities.py:556:80: E501 line too long (88 > 79 characters)
./coalitions/coalition/business_opportunities.py:562:80: E501 line too long (81 > 79 characters)
./coalitions/coalition/business_opportunities.py:564:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_criteria.py:15:80: E501 line too long (84 > 79 characters)
./coalitions/coalition/coalition_criteria.py:93:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/coalition_criteria.py:107:80: E501 line too long (88 > 79 characters)
./coalitions/coalition/coalition_criteria.py:132:80: E501 line too long (85 > 79 characters)
./coalitions/coalition/coalition_criteria.py:133:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_criteria.py:173:80: E501 line too long (93 > 79 characters)
./coalitions/coalition/coalition_criteria.py:174:80: E501 line too long (100 > 79 characters)
./coalitions/coalition/coalition_criteria.py:182:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:183:80: E501 line too long (100 > 79 characters)
./coalitions/coalition/coalition_criteria.py:184:80: E501 line too long (91 > 79 characters)
./coalitions/coalition/coalition_criteria.py:192:80: E501 line too long (100 > 79 characters)
./coalitions/coalition/coalition_criteria.py:202:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:203:80: E501 line too long (100 > 79 characters)
./coalitions/coalition/coalition_criteria.py:204:80: E501 line too long (86 > 79 characters)
./coalitions/coalition/coalition_criteria.py:213:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:214:80: E501 line too long (100 > 79 characters)
./coalitions/coalition/coalition_criteria.py:224:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:225:80: E501 line too long (100 > 79 characters)
./coalitions/coalition/coalition_criteria.py:226:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_criteria.py:243:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_criteria.py:257:80: E501 line too long (87 > 79 characters)
./coalitions/coalition/coalition_criteria.py:260:80: E501 line too long (88 > 79 characters)
./coalitions/coalition/coalition_criteria.py:299:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/coalition_criteria.py:307:80: E501 line too long (87 > 79 characters)
./coalitions/coalition/coalition_criteria.py:320:80: E501 line too long (87 > 79 characters)
./coalitions/coalition/coalition_criteria.py:352:80: E501 line too long (85 > 79 characters)
./coalitions/coalition/coalition_criteria.py:365:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_criteria.py:365:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_criteria.py:372:80: E501 line too long (85 > 79 characters)
./coalitions/coalition/coalition_criteria.py:386:80: E501 line too long (90 > 79 characters)
./coalitions/coalition/coalition_criteria.py:391:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:396:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:402:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:404:80: E501 line too long (83 > 79 characters)
./coalitions/coalition/coalition_criteria.py:405:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:408:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:409:80: E501 line too long (85 > 79 characters)
./coalitions/coalition/coalition_criteria.py:410:80: E501 line too long (86 > 79 characters)
./coalitions/coalition/coalition_criteria.py:411:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:412:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/coalition_criteria.py:414:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_criteria.py:416:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_criteria.py:417:1: W293 blank line contains whitespace
./coalitions/coalition/coalition_models.py:118:80: E501 line too long (88 > 79 characters)
./coalitions/coalition/coalition_models.py:142:80: E501 line too long (94 > 79 characters)
./coalitions/coalition/coalition_models.py:221:80: E501 line too long (89 > 79 characters)
./coalitions/coalition/coalition_models.py:272:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_models.py:282:80: E501 line too long (93 > 79 characters)
./coalitions/coalition/coalition_models.py:297:80: E501 line too long (90 > 79 characters)
./coalitions/coalition/coalition_models.py:328:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_models.py:344:80: E501 line too long (92 > 79 characters)
./coalitions/coalition/coalition_models.py:379:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_models.py:381:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/coalition_models.py:395:80: E501 line too long (88 > 79 characters)
./coalitions/coalition/coalition_models.py:405:80: E501 line too long (82 > 79 characters)
./coalitions/coalition/coalition_models.py:411:80: E501 line too long (85 > 79 characters)
./coalitions/coalition/coalition_models.py:432:80: E501 line too long (80 > 79 characters)
./coalitions/coalition/coalition_models.py:434:80: E501 line too long (92 > 79 characters)
./coalitions/coalition/coalition_models.py:484:80: E501 line too long (95 > 79 characters)
./coalitions/coalition/coalition_models.py:512:80: E501 line too long (86 > 79 characters)
